step,hp_metric,lr-AdamW,val_mse,val_mono,val_convex,val_excurv,val_loss,epoch,train_mse,train_mono,train_convex,train_excurv,train_loss,test_loss,test/stats/mae_mean,test/stats/mae_std,test/stats/mae_median,test/stats/rmse_mean,test/stats/rmse_std,test/stats/rmse_median,test/stats/r2_mean,test/stats/r2_std,test/stats/r2_median,test/stats/isc_error_abs_mean,test/stats/isc_error_abs_median,test/stats/voc_error_abs_mean,test/stats/voc_error_abs_median,test/stats/voc_prediction_rate
3149,,0.003413816913962364,,,,,,,,,,,,,,,,,,,,,,,,,,
3174,,0.00345044513233006,,,,,,,,,,,,,,,,,,,,,,,,,,
3191,,,0.024088481441140175,2.2115718820714392e-05,0.0655984953045845,0.0010956187034025788,0.023945776745676994,3.0,0.027504609897732735,0.0003652187588158995,0.07322359830141068,0.0020726588554680347,0.027343198657035828,,,,,,,,,,,,,,,
3199,,0.0034869611263275146,,,,,,,,,,,,,,,,,,,,,,,,,,
3224,,0.003523357678204775,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,,0.003559627803042531,,,,,,,,,,,,,,,,,,,,,,,,,,
3274,,0.00359576428309083,,,,,,,,,,,,,,,,,,,,,,,,,,
3299,,0.003631759900599718,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,,0.003667607670649886,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,,0.0037033003754913807,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,,0.0037388307973742485,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,,0.0037741921842098236,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,,0.0038093775510787964,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,,0.0038443799130618572,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,,0.003879192052409053,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,,0.003913807217031717,,,,,,,,,,,,,,,,,,,,,,,,,,
3524,,0.003948219120502472,,,,,,,,,,,,,,,,,,,,,,,,,,
3549,,0.003982420079410076,,,,,,,,,,,,,,,,,,,,,,,,,,
3574,,0.004016404040157795,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,,0.004050163552165031,,,,,,,,,,,,,,,,,,,,,,,,,,
3624,,0.004083693027496338,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,,0.00411698454990983,,,,,,,,,,,,,,,,,,,,,,,,,,
3674,,0.00415003253147006,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,,0.004182829987257719,,,,,,,,,,,,,,,,,,,,,,,,,,
3724,,0.004215370398014784,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,,0.00424764771014452,,,,,,,,,,,,,,,,,,,,,,,,,,
3774,,0.004279654938727617,,,,,,,,,,,,,,,,,,,,,,,,,,
3799,,0.0043113864958286285,,,,,,,,,,,,,,,,,,,,,,,,,,
3824,,0.004342835396528244,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,,0.004373995587229729,,,,,,,,,,,,,,,,,,,,,,,,,,
3874,,0.004404861479997635,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,,0.004435426089912653,,,,,,,,,,,,,,,,,,,,,,,,,,
3924,,0.0044656842947006226,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,,0.004495629109442234,,,,,,,,,,,,,,,,,,,,,,,,,,
3974,,0.004525255411863327,,,,,,,,,,,,,,,,,,,,,,,,,,
3989,,,0.022858750075101852,1.381419860990718e-05,0.06600166112184525,0.0011868377914652228,0.02274351753294468,4.0,0.02555852197110653,0.00015863966837059706,0.07168401777744293,0.002173743210732937,0.025428298860788345,,,,,,,,,,,,,,,
3999,,0.0045545571483671665,,,,,,,,,,,,,,,,,,,,,,,,,,
4024,,0.004583528731018305,,,,,,,,,,,,,,,,,,,,,,,,,,
4049,,0.00461216364055872,,,,,,,,,,,,,,,,,,,,,,,,,,
4074,,0.0046404567547142506,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,,0.00466840248554945,,,,,,,,,,,,,,,,,,,,,,,,,,
4124,,0.004695995710790157,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,,0.0047232299111783504,,,,,,,,,,,,,,,,,,,,,,,,,,
4174,,0.004750100430101156,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,,0.004776602145284414,,,,,,,,,,,,,,,,,,,,,,,,,,
4224,,0.004802729468792677,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,,0.004828477278351784,,,,,,,,,,,,,,,,,,,,,,,,,,
4274,,0.004853839986026287,,,,,,,,,,,,,,,,,,,,,,,,,,
4299,,0.0048788138665258884,,,,,,,,,,,,,,,,,,,,,,,,,,
4324,,0.0049033924005925655,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,,0.00492757186293602,,,,,,,,,,,,,,,,,,,,,,,,,,
4374,,0.004951347131282091,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,,0.004974713549017906,,,,,,,,,,,,,,,,,,,,,,,,,,
4424,,0.004997666459530592,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,,0.005020201206207275,,,,,,,,,,,,,,,,,,,,,,,,,,
4474,,0.005042313598096371,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,,0.005063998978585005,,,,,,,,,,,,,,,,,,,,,,,,,,
